行番号,列番号,個体名,性別,生年月日,父親,母親,現在地,アイコン
1,1,マックス,オス,,,,東山動植物園,
1,2,ティリー,メス,2009/12/15-2024/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/tilly.png
1,3,イシン,オス,2017/5/14,ブンダ,ユメ,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/ishin.png
1,6,タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,平川動物公園,
1,8,ホリー,メス,2013/12/25,,,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/holly.png
3,2,りん,メス,2017/8/23,マックス,ティリー,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/rin.png
4,1,ライト,オス,2021/5/14,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/raito.png
4,2,つくし,メス,2020/9/3,イシン,りん,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/tukusi.png
4,4,もなか,オス,2023/10/20,イシン,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/monaka.png
4,5,だいふく,オス,2022/3/14,タイチ,りん,東山動植物園,https://dj-kata.github.io/koala_familytree/imgs/daifuku.png
6,5,アーチャー,オス,2019/4/26,,,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/archer.png
6,6,インディコ,メス,2019/12/22,イシン,ティリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/indeko.png
6,7,ししお,オス,2022/4/4,タイチ,ホリー,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sisio.png
8,2,スミレ,メス,2024/9/11,ライト,つくし,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/sumire.png
8,5,スター,オス,2023/11/18,アーチャー,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/star.png
8,8,タイヨウ,オス,2022/8/11,タイチ,インディコ,平川動物公園,https://dj-kata.github.io/koala_familytree/imgs/taiyou.png
8,6,インディコ仔,メス,2025/5/15,ししお,インディコ,平川動物公園,